#{"t_start": 1615253180.0972133, "env_id": "commonroad-v0"}
r,l,t,is_collision,is_time_out,is_off_road,is_back_collision,is_goal_reached,scenario_name
-26.380416,260,26.889035,0,1,0,0,0,DEU_AAH-1_80075_T-1
-45.0,350,60.279628,0,1,0,0,0,DEU_AAH-1_1000129_T-1
-19.131761,45,67.139471,1,0,0,0,0,DEU_AAH-1_90097_T-1
-8.30549,186,88.710706,0,1,0,0,0,DEU_AAH-1_1300168_T-1
-13.648194,276,139.793907,0,1,0,0,0,DEU_AAH-1_140028_T-1
-14.369757,154,182.7902,0,0,0,1,0,DEU_AAH-1_180049_T-1
-6.8466,185,204.521181,0,1,0,0,0,DEU_AAH-1_800141_T-1
2.503737,192,227.002229,0,1,0,0,0,DEU_AAH-1_100069_T-1
-12.739384,210,257.873449,0,1,0,0,0,DEU_AAH-1_110051_T-1
-11.151044,156,287.122894,0,0,0,1,0,DEU_AAH-1_1500146_T-1
66.0,142,314.763418,0,0,0,0,1,DEU_AAH-1_140023_T-1
-28.658172,320,339.693711,0,1,0,0,0,DEU_AAH-1_100070_T-1
-12.419181,196,355.094002,0,1,0,0,0,DEU_AAH-1_80026_T-1
2.986338,176,372.399112,0,1,0,0,0,DEU_AAH-1_100027_T-1
-6.264242,209,407.134323,0,0,0,0,0,DEU_AAH-1_90050_T-1
-6.729351,244,434.710595,0,1,0,0,0,DEU_AAH-1_80029_T-1
55.2,237,484.511505,0,0,0,0,1,DEU_AAH-1_90065_T-1
-27.426399,205,535.987369,0,0,0,1,0,DEU_AAH-1_150099_T-1
1.527928,180,562.932954,0,1,0,0,0,DEU_AAH-1_160072_T-1
-6.314756,221,600.160651,0,1,0,0,0,DEU_AAH-1_80097_T-1
1.747391,103,617.978932,0,0,0,0,0,DEU_AAH-1_90047_T-1
-30.405749,219,644.959021,0,1,0,0,0,DEU_AAH-1_100083_T-1
-16.532436,276,696.954522,0,1,0,0,0,DEU_AAH-1_140028_T-1
-4.348721,192,724.726804,0,1,0,0,0,DEU_AAH-1_100041_T-1
5.610795,151,760.085487,0,0,0,0,0,DEU_AAH-1_130077_T-1
3.494704,55,777.662215,0,0,0,0,0,DEU_AAH-1_900122_T-1
-2.257035,52,790.334668,0,0,0,0,0,DEU_AAH-1_1600242_T-1
-12.005533,106,802.608773,1,0,0,0,0,DEU_AAH-1_100071_T-1
-6.198894,200,819.255933,0,1,0,0,0,DEU_AAH-1_100034_T-1
65.4,160,839.346026,0,0,0,0,1,DEU_AAH-1_150022_T-1
64.9,166,857.606772,0,0,0,0,1,DEU_AAH-1_100052_T-1
-45.258256,306,884.794041,0,1,0,0,0,DEU_AAH-1_110063_T-1
-7.002542,170,914.097036,0,0,0,0,0,DEU_AAH-1_110039_T-1
60.0,180,938.007538,0,0,0,0,1,DEU_AAH-1_80014_T-1
-1.330582,181,957.422374,0,1,0,0,0,DEU_AAH-1_80099_T-1
0.64857,175,975.72649,0,1,0,0,0,DEU_AAH-1_110011_T-1
-14.445897,111,996.557981,0,0,0,1,0,DEU_AAH-1_110014_T-1
-21.963841,188,1028.211131,0,1,0,0,0,DEU_AAH-1_90021_T-1
-9.27089,67,1040.187511,0,0,0,0,0,DEU_AAH-1_90044_T-1
-3.336186,166,1052.393004,0,0,0,0,0,DEU_AAH-1_100099_T-1
-33.943531,317,1063.864699,0,1,0,0,0,DEU_AAH-1_130025_T-1
63.885469,158,1085.856459,0,0,0,0,1,DEU_AAH-1_160024_T-1
65.3,142,1101.568513,0,0,0,0,1,DEU_AAH-1_100030_T-1
-9.753383,200,1121.45511,0,1,0,0,0,DEU_AAH-1_80058_T-1
2.645664,111,1152.62971,0,0,0,0,0,DEU_AAH-1_180080_T-1
-3.677911,184,1171.836605,0,1,0,0,0,DEU_AAH-1_90041_T-1
-0.501522,193,1193.046057,0,1,0,0,0,DEU_AAH-1_100068_T-1
65.2,153,1215.115389,0,0,0,0,1,DEU_AAH-1_90096_T-1
1.770734,178,1236.1233,0,1,0,0,0,DEU_AAH-1_110047_T-1
65.6,154,1261.266494,0,0,0,0,1,DEU_AAH-1_130082_T-1
-1.092609,34,1273.697947,0,0,0,0,0,DEU_AAH-1_900108_T-1
64.0,167,1294.46219,0,0,0,0,1,DEU_AAH-1_90033_T-1
-10.640889,253,1310.550741,0,1,0,0,0,DEU_AAH-1_100099_T-1
70.0,52,1318.581509,0,0,0,0,1,DEU_AAH-1_170026_T-1
-13.769437,193,1337.034011,0,1,0,0,0,DEU_AAH-1_100068_T-1
1.588889,205,1359.758841,0,1,0,0,0,DEU_AAH-1_90072_T-1
64.2,170,1379.986163,0,0,0,0,1,DEU_AAH-1_100043_T-1
-8.284932,218,1412.158334,0,1,0,0,0,DEU_AAH-1_110014_T-1
-17.105061,184,1438.701055,0,0,0,0,0,DEU_AAH-1_110039_T-1
0.67267,55,1450.883902,0,0,0,0,0,DEU_AAH-1_1200142_T-1
2.544052,117,1477.730147,0,0,0,0,0,DEU_AAH-1_180032_T-1
1.136164,187,1496.728857,0,1,0,0,0,DEU_AAH-1_100030_T-1
0.594372,191,1522.689927,0,0,0,0,0,DEU_AAH-1_80071_T-1
-15.216312,88,1541.029199,0,0,0,1,0,DEU_AAH-1_90096_T-1
-10.245512,202,1559.059943,0,1,0,0,0,DEU_AAH-1_1100199_T-1
-3.675128,212,1580.052155,0,1,0,0,0,DEU_AAH-1_80076_T-1
-7.235837,192,1600.051706,0,1,0,0,0,DEU_AAH-1_110044_T-1
-9.563637,296,1662.090957,0,1,0,0,0,DEU_AAH-1_140032_T-1
-13.704809,86,1685.624361,0,0,0,1,0,DEU_AAH-1_160051_T-1
-14.681648,350,1728.750705,0,1,0,0,0,DEU_AAH-1_90084_T-1
49.8,270,1762.877144,0,0,0,0,1,DEU_AAH-1_170037_T-1
-18.146511,140,1783.658068,0,0,0,1,0,DEU_AAH-1_90057_T-1
2.437125,88,1795.037468,0,0,0,0,0,DEU_AAH-1_110043_T-1
-23.818643,135,1809.47881,0,0,0,1,0,DEU_AAH-1_100094_T-1
-14.174247,176,1824.60001,0,1,0,0,0,DEU_AAH-1_80049_T-1
-2.549049,195,1863.313534,0,1,0,0,0,DEU_AAH-1_110033_T-1
-18.918453,131,1875.967201,1,0,0,0,0,DEU_AAH-1_100097_T-1
-16.965743,120,1910.319694,0,0,0,1,0,DEU_AAH-1_90083_T-1
